a,p,q,f,l,T,m,M,
6081554,0.0001625,94,7592583,7592583,8:30:12 PM,FALSE,TRUE,62.84
6081555,0.00016198,290,7592584,7592584,8:30:12 PM,FALSE,TRUE,62.32
6081556,0.00016198,30,7592585,7592585,8:30:12 PM,FALSE,TRUE,62.32
6081557,0.00016198,5,7592586,7592586,8:30:12 PM,FALSE,TRUE,62.32
6081558,0.00016198,34,7592587,7592587,8:30:12 PM,FALSE,TRUE,62.32
6081559,0.0001625,20,7592588,7592588,8:30:12 PM,FALSE,TRUE,62.84
6081560,0.0001625,88,7592589,7592589,8:30:12 PM,FALSE,TRUE,62.84
6081561,0.00015982,359,7592590,7592590,8:30:12 PM,TRUE,TRUE,60.16
6081562,0.00015981,141,7592591,7592591,8:30:12 PM,TRUE,TRUE,60.15
6081563,0.0001625,87,7592592,7592592,8:30:12 PM,FALSE,TRUE,62.84
6081564,0.00015981,2143,7592593,7592593,8:30:12 PM,TRUE,TRUE,60.15
6081565,0.0001554,236,7592594,7592595,8:30:12 PM,TRUE,TRUE,55.73
6081566,0.00015502,45,7592596,7592596,8:30:12 PM,TRUE,TRUE,55.35
6081567,0.00015092,9,7592597,7592597,8:30:12 PM,TRUE,TRUE,51.24
6081568,0.00014987,264,7592598,7592599,8:30:12 PM,TRUE,TRUE,50.19
6081569,0.00014837,269,7592600,7592600,8:30:12 PM,TRUE,TRUE,48.68
6081570,0.00014809,4,7592601,7592601,8:30:12 PM,TRUE,TRUE,48.40
6081571,0.00014807,433,7592602,7592602,8:30:12 PM,TRUE,TRUE,48.38
6081572,0.00014688,155,7592603,7592603,8:30:12 PM,TRUE,TRUE,47.19
6081573,0.00014685,407,7592604,7592604,8:30:12 PM,TRUE,TRUE,47.16
6081574,0.00014671,40,7592605,7592612,8:30:12 PM,TRUE,TRUE,47.02
6081575,0.00014633,3742,7592613,7592622,8:30:12 PM,TRUE,TRUE,46.64
6081576,0.00014515,67,7592623,7592623,8:30:12 PM,TRUE,TRUE,45.46
6081577,0.000145,64,7592624,7592624,8:30:12 PM,TRUE,TRUE,45.31
6081578,0.00014412,5,7592625,7592625,8:30:12 PM,TRUE,TRUE,44.42
6081579,0.0001437,347,7592626,7592626,8:30:12 PM,TRUE,TRUE,44.00
6081580,0.00014361,417,7592627,7592636,8:30:12 PM,TRUE,TRUE,43.91
6081581,0.0001436,20,7592637,7592637,8:30:12 PM,TRUE,TRUE,43.90
6081582,0.00014322,345,7592638,7592638,8:30:12 PM,TRUE,TRUE,43.52
6081583,0.000143,41,7592639,7592639,8:30:12 PM,TRUE,TRUE,43.30
6081584,0.00014296,5,7592640,7592640,8:30:12 PM,TRUE,TRUE,43.26
6081585,0.00014267,696,7592641,7592641,8:30:12 PM,TRUE,TRUE,42.97
6081586,0.00014215,42,7592642,7592642,8:30:12 PM,TRUE,TRUE,42.45
6081587,0.00014211,161,7592643,7592643,8:30:12 PM,TRUE,TRUE,42.41
6081588,0.00014195,2,7592644,7592644,8:30:12 PM,TRUE,TRUE,42.25
6081589,0.00014179,141,7592645,7592645,8:30:12 PM,TRUE,TRUE,42.09
6081590,0.00014161,199,7592646,7592649,8:30:12 PM,TRUE,TRUE,41.91
6081591,0.0001625,8,7592650,7592650,8:30:12 PM,FALSE,TRUE,62.84
6081592,0.0001625,108,7592651,7592651,8:30:12 PM,FALSE,TRUE,62.84
6081593,0.00014161,42,7592652,7592653,8:30:12 PM,TRUE,TRUE,41.91
6081594,0.00016249,1,7592654,7592654,8:30:12 PM,FALSE,TRUE,62.83
6081595,0.00016249,358,7592655,7592655,8:30:12 PM,FALSE,TRUE,62.83
6081596,0.0001625,28,7592656,7592656,8:30:12 PM,FALSE,TRUE,62.84
6081597,0.0001625,13,7592657,7592657,8:30:12 PM,FALSE,TRUE,62.84
6081598,0.0001625,10,7592658,7592658,8:30:12 PM,FALSE,TRUE,62.84
6081599,0.0001625,1,7592659,7592659,8:30:12 PM,FALSE,TRUE,62.84
6081600,0.0001625,56,7592660,7592660,8:30:12 PM,FALSE,TRUE,62.84
6081601,0.0001625,2,7592661,7592661,8:30:12 PM,FALSE,TRUE,62.84
6081602,0.0001625,623,7592662,7592662,8:30:12 PM,FALSE,TRUE,62.84
6081603,0.0001625,99,7592663,7592663,8:30:12 PM,FALSE,TRUE,62.84
6081604,0.0001625,18,7592664,7592664,8:30:12 PM,FALSE,TRUE,62.84
6081605,0.0001625,153,7592665,7592665,8:30:12 PM,FALSE,TRUE,62.84
6081606,0.0001625,3,7592666,7592666,8:30:12 PM,FALSE,TRUE,62.84
6081607,0.0001625,7,7592667,7592667,8:30:12 PM,FALSE,TRUE,62.84
6081608,0.0001625,9,7592668,7592668,8:30:12 PM,FALSE,TRUE,62.84
6081609,0.0001625,41,7592669,7592669,8:30:12 PM,FALSE,TRUE,62.84
6081610,0.0001625,16,7592670,7592670,8:30:12 PM,FALSE,TRUE,62.84
6081611,0.0001625,254,7592671,7592671,8:30:12 PM,FALSE,TRUE,62.84
6081612,0.0001625,162.31,7592672,7592672,8:30:12 PM,FALSE,TRUE,62.84
6081613,0.0001627,8.24,7592673,7592673,8:30:12 PM,FALSE,TRUE,63.04
6081614,0.00016288,15,7592674,7592674,8:30:12 PM,FALSE,TRUE,63.22
6081615,0.000163,15,7592675,7592675,8:30:12 PM,FALSE,TRUE,63.34
6081616,0.0001632,166,7592676,7592676,8:30:12 PM,FALSE,TRUE,63.54
6081617,0.0001635,556,7592677,7592677,8:30:12 PM,FALSE,TRUE,63.84
6081618,0.0001638,18,7592678,7592678,8:30:12 PM,FALSE,TRUE,64.14
6081619,0.00016444,9,7592679,7592679,8:30:12 PM,FALSE,TRUE,64.79
6081620,0.00016445,65,7592680,7592680,8:30:12 PM,FALSE,TRUE,64.80
6081621,0.00016452,18,7592681,7592681,8:30:12 PM,FALSE,TRUE,64.87
6081622,0.0001647,10,7592682,7592682,8:30:12 PM,FALSE,TRUE,65.05
6081623,0.00016486,219,7592683,7592683,8:30:12 PM,FALSE,TRUE,65.21
6081624,0.00016497,276,7592684,7592684,8:30:12 PM,FALSE,TRUE,65.32
6081625,0.000165,1644.45,7592685,7592686,8:30:12 PM,FALSE,TRUE,65.35
6081626,0.000165,561,7592687,7592687,8:30:12 PM,FALSE,TRUE,65.35
6081627,0.000165,9,7592688,7592688,8:30:12 PM,FALSE,TRUE,65.35
6081628,0.000165,2,7592689,7592689,8:30:12 PM,FALSE,TRUE,65.35
6081629,0.00015982,20,7592690,7592690,8:30:12 PM,TRUE,TRUE,60.16
6081630,0.00015982,2,7592691,7592691,8:30:12 PM,TRUE,TRUE,60.16
6081631,0.00015982,41,7592692,7592692,8:30:12 PM,TRUE,TRUE,60.16
6081632,0.00015982,5,7592693,7592693,8:30:12 PM,TRUE,TRUE,60.16
6081633,0.000165,2,7592694,7592694,8:30:12 PM,FALSE,TRUE,65.35
6081634,0.00015982,5,7592695,7592695,8:30:12 PM,TRUE,TRUE,60.16
6081635,0.000165,71,7592696,7592696,8:30:12 PM,FALSE,TRUE,65.35
6081636,0.000165,15,7592697,7592697,8:30:12 PM,FALSE,TRUE,65.35
6081637,0.00016499,20,7592698,7592698,8:30:12 PM,FALSE,TRUE,65.34
6081638,0.000165,8,7592699,7592699,8:30:12 PM,FALSE,TRUE,65.35
6081639,0.000165,5,7592700,7592700,8:30:12 PM,FALSE,TRUE,65.35
6081640,0.000165,1,7592701,7592701,8:30:12 PM,FALSE,TRUE,65.35
6081641,0.00015982,269,7592702,7592702,8:30:12 PM,TRUE,TRUE,60.16
6081642,0.00015982,16,7592703,7592703,8:30:12 PM,TRUE,TRUE,60.16
6081643,0.00015661,2,7592704,7592704,8:30:12 PM,TRUE,TRUE,56.94
6081644,0.0001554,25,7592705,7592705,8:30:12 PM,TRUE,TRUE,55.73
6081645,0.00015182,4,7592706,7592707,8:30:12 PM,TRUE,TRUE,52.14
6081646,0.00014905,13,7592708,7592708,8:30:12 PM,FALSE,TRUE,49.36
6081647,0.00014905,125,7592709,7592712,8:30:12 PM,FALSE,TRUE,49.36
6081648,0.00014905,6,7592713,7592713,8:30:12 PM,FALSE,TRUE,49.36
6081649,0.00014905,12,7592714,7592714,8:30:12 PM,FALSE,TRUE,49.36
6081650,0.00014781,5,7592715,7592717,8:30:12 PM,TRUE,TRUE,48.12
6081651,0.00014353,206,7592718,7592722,8:30:12 PM,TRUE,TRUE,43.83
6081652,0.00014733,20,7592723,7592723,8:30:12 PM,FALSE,TRUE,47.64
6081653,0.00014543,347,7592724,7592730,8:30:12 PM,TRUE,TRUE,45.74
6081654,0.00014733,42,7592731,7592731,8:30:12 PM,FALSE,TRUE,47.64
6081655,0.00014905,196,7592732,7592737,8:30:12 PM,FALSE,TRUE,49.36
6081656,0.00014905,8,7592738,7592738,8:30:12 PM,FALSE,TRUE,49.36
6081657,0.00015517,12,7592739,7592739,8:30:12 PM,FALSE,TRUE,55.50
6081658,0.00015517,12,7592740,7592740,8:30:12 PM,FALSE,TRUE,55.50
6081659,0.00015517,20,7592741,7592742,8:30:12 PM,FALSE,TRUE,55.50
6081660,0.00014543,177,7592743,7592746,8:30:12 PM,TRUE,TRUE,45.74
6081661,0.00014516,64,7592747,7592752,8:30:12 PM,TRUE,TRUE,45.47
6081662,0.00014904,2,7592753,7592753,8:30:12 PM,FALSE,TRUE,49.35
6081663,0.00014904,51,7592754,7592754,8:30:12 PM,FALSE,TRUE,49.35
6081664,0.00015517,70,7592755,7592761,8:30:12 PM,FALSE,TRUE,55.50
6081665,0.00016289,141,7592762,7592762,8:30:12 PM,FALSE,TRUE,63.23
6081666,0.00016396,13,7592763,7592763,8:30:12 PM,FALSE,TRUE,64.31
6081667,0.000165,213,7592764,7592764,8:30:12 PM,FALSE,TRUE,65.35
6081668,0.000165,8,7592765,7592765,8:30:12 PM,FALSE,TRUE,65.35
6081669,0.000165,18,7592766,7592766,8:30:12 PM,FALSE,TRUE,65.35
6081670,0.000165,25,7592767,7592767,8:30:12 PM,FALSE,TRUE,65.35
6081671,0.000165,14,7592768,7592768,8:30:12 PM,FALSE,TRUE,65.35
6081672,0.000165,5,7592769,7592769,8:30:12 PM,FALSE,TRUE,65.35
6081673,0.000165,9,7592770,7592770,8:30:12 PM,FALSE,TRUE,65.35
6081674,0.000165,712,7592771,7592771,8:30:12 PM,FALSE,TRUE,65.35
6081675,0.00016131,1,7592772,7592772,8:30:12 PM,FALSE,TRUE,61.65
6081676,0.00015202,9,7592773,7592773,8:30:12 PM,TRUE,TRUE,52.34
6081677,0.00016131,1,7592774,7592774,8:30:12 PM,FALSE,TRUE,61.65
6081678,0.00016499,58,7592775,7592775,8:30:12 PM,FALSE,TRUE,65.34
6081679,0.0001613,40,7592776,7592783,8:30:12 PM,FALSE,TRUE,61.64
6081680,0.00016499,145,7592784,7592784,8:30:12 PM,FALSE,TRUE,65.34
6081681,0.00015202,76,7592785,7592793,8:30:12 PM,TRUE,TRUE,52.34
6081682,0.00014782,33,7592794,7592794,8:30:12 PM,TRUE,TRUE,48.13
6081683,0.0001498,623,7592795,7592803,8:30:12 PM,FALSE,TRUE,50.12
6081684,0.00016499,82,7592804,7592804,8:30:12 PM,FALSE,TRUE,65.34
6081685,0.000165,590,7592805,7592805,8:30:12 PM,FALSE,TRUE,65.35
6081686,0.000165,25,7592806,7592806,8:30:12 PM,FALSE,TRUE,65.35
6081687,0.0001527,19,7592807,7592807,8:30:12 PM,FALSE,TRUE,53.02
6081688,0.00015074,32,7592808,7592808,8:30:12 PM,FALSE,TRUE,51.06
6081689,0.00014733,96,7592809,7592809,8:30:12 PM,TRUE,TRUE,47.64
6081690,0.00015074,57,7592810,7592810,8:30:12 PM,FALSE,TRUE,51.06
6081691,0.00015074,36,7592811,7592811,8:30:12 PM,FALSE,TRUE,51.06
6081692,0.00015269,33,7592812,7592812,8:30:12 PM,FALSE,TRUE,53.01
6081693,0.0001527,130,7592813,7592815,8:30:12 PM,FALSE,TRUE,53.02
6081694,0.0001527,154,7592816,7592819,8:30:12 PM,FALSE,TRUE,53.02
6081695,0.0001527,1,7592820,7592820,8:30:12 PM,FALSE,TRUE,53.02
6081696,0.0001527,92,7592821,7592823,8:30:12 PM,FALSE,TRUE,53.02
6081697,0.00014811,4,7592824,7592824,8:30:12 PM,TRUE,TRUE,48.42
6081698,0.00014733,39,7592825,7592825,8:30:12 PM,TRUE,TRUE,47.64
6081699,0.00014502,2,7592826,7592826,8:30:12 PM,TRUE,TRUE,45.33
6081700,0.00014353,10,7592827,7592827,8:30:12 PM,TRUE,TRUE,43.83
6081701,0.0001527,3,7592828,7592828,8:30:12 PM,FALSE,TRUE,53.02
6081702,0.0001527,25,7592829,7592829,8:30:12 PM,FALSE,TRUE,53.02
6081703,0.0001527,83,7592830,7592831,8:30:12 PM,FALSE,TRUE,53.02
6081704,0.0001527,17,7592832,7592832,8:30:12 PM,FALSE,TRUE,53.02
6081705,0.00015619,4,7592833,7592833,8:30:12 PM,FALSE,TRUE,56.52
6081706,0.00015619,12,7592834,7592834,8:30:12 PM,FALSE,TRUE,56.52
6081707,0.00014812,2,7592835,7592835,8:30:12 PM,TRUE,TRUE,48.43
6081708,0.00015619,24,7592836,7592836,8:30:12 PM,FALSE,TRUE,56.52
6081709,0.0001613,85,7592837,7592846,8:30:12 PM,FALSE,TRUE,61.64
6081710,0.000165,274,7592847,7592847,8:30:12 PM,FALSE,TRUE,65.35
6081711,0.000165,73,7592848,7592848,8:30:12 PM,FALSE,TRUE,65.35
6081712,0.000165,20,7592849,7592849,8:30:12 PM,FALSE,TRUE,65.35
6081713,0.00014835,20,7592850,7592851,8:30:12 PM,FALSE,TRUE,48.66
6081714,0.00014812,64,7592852,7592852,8:30:12 PM,TRUE,TRUE,48.43
6081715,0.00014812,55,7592853,7592853,8:30:12 PM,TRUE,TRUE,48.43
6081716,0.00014835,7,7592854,7592854,8:30:12 PM,FALSE,TRUE,48.66
6081717,0.00014835,128,7592855,7592863,8:30:12 PM,FALSE,TRUE,48.66
6081718,0.00016499,2,7592864,7592864,8:30:12 PM,FALSE,TRUE,65.34
6081719,0.000165,31,7592865,7592865,8:30:12 PM,FALSE,TRUE,65.35
6081720,0.000165,2428,7592866,7592867,8:30:12 PM,FALSE,TRUE,65.35
6081721,0.000165,27,7592868,7592868,8:30:12 PM,FALSE,TRUE,65.35
6081722,0.00015781,14,7592869,7592871,8:30:12 PM,FALSE,TRUE,58.14
6081723,0.00015781,29,7592872,7592878,8:30:12 PM,FALSE,TRUE,58.14
6081724,0.00015781,2,7592879,7592879,8:30:12 PM,FALSE,TRUE,58.14
6081725,0.00016499,58,7592880,7592880,8:30:12 PM,FALSE,TRUE,65.34
6081726,0.00016499,58,7592881,7592881,8:30:12 PM,FALSE,TRUE,65.34
6081727,0.00016499,3,7592882,7592882,8:30:12 PM,FALSE,TRUE,65.34
6081728,0.000165,209,7592883,7592883,8:30:12 PM,FALSE,TRUE,65.35
6081729,0.00014812,42,7592884,7592884,8:30:12 PM,TRUE,TRUE,48.43
6081730,0.000165,3,7592885,7592885,8:30:12 PM,FALSE,TRUE,65.35
6081731,0.000165,50,7592886,7592886,8:30:12 PM,FALSE,TRUE,65.35
6081732,0.000165,2,7592887,7592887,8:30:12 PM,FALSE,TRUE,65.35
6081733,0.000165,11,7592888,7592888,8:30:12 PM,FALSE,TRUE,65.35
6081734,0.000165,18,7592889,7592889,8:30:12 PM,FALSE,TRUE,65.35
6081735,0.000165,17,7592890,7592890,8:30:12 PM,FALSE,TRUE,65.35
6081736,0.000165,74,7592891,7592891,8:30:12 PM,FALSE,TRUE,65.35
6081737,0.000165,66,7592892,7592892,8:30:12 PM,FALSE,TRUE,65.35
6081738,0.000165,29,7592893,7592893,8:30:12 PM,FALSE,TRUE,65.35
6081739,0.000165,405,7592894,7592894,8:30:12 PM,FALSE,TRUE,65.35
6081740,0.00016499,21,7592895,7592895,8:30:12 PM,FALSE,TRUE,65.34
6081741,0.00016499,21,7592896,7592896,8:30:12 PM,FALSE,TRUE,65.34
6081742,0.000165,186,7592897,7592897,8:30:12 PM,FALSE,TRUE,65.35
6081743,0.000165,18,7592898,7592898,8:30:12 PM,FALSE,TRUE,65.35
6081744,0.000165,47,7592899,7592899,8:30:12 PM,FALSE,TRUE,65.35
6081745,0.000165,81,7592900,7592900,8:30:12 PM,FALSE,TRUE,65.35
6081746,0.00016201,4,7592901,7592901,8:30:12 PM,TRUE,TRUE,62.35
6081747,0.000165,63,7592902,7592902,8:30:12 PM,FALSE,TRUE,65.35
6081748,0.000165,662,7592903,7592903,8:30:12 PM,FALSE,TRUE,65.35
6081749,0.00016201,87,7592904,7592904,8:30:12 PM,TRUE,TRUE,62.35
6081750,0.00016499,4,7592905,7592905,8:30:12 PM,FALSE,TRUE,65.34
6081751,0.000165,413,7592906,7592906,8:30:12 PM,FALSE,TRUE,65.35
6081752,0.000165,15,7592907,7592907,8:30:12 PM,FALSE,TRUE,65.35
6081753,0.000165,2,7592908,7592908,8:30:12 PM,FALSE,TRUE,65.35
6081754,0.000165,30,7592909,7592909,8:30:12 PM,FALSE,TRUE,65.35
6081755,0.000165,4,7592910,7592910,8:30:12 PM,FALSE,TRUE,65.35
6081756,0.000165,7,7592911,7592911,8:30:12 PM,FALSE,TRUE,65.35
6081757,0.000165,51,7592912,7592912,8:30:12 PM,FALSE,TRUE,65.35
6081758,0.00016201,261,7592913,7592913,8:30:12 PM,TRUE,TRUE,62.35
6081759,0.000162,18,7592914,7592914,8:30:12 PM,TRUE,TRUE,62.34
6081760,0.00016197,21,7592915,7592915,8:30:12 PM,FALSE,TRUE,62.31
6081761,0.00016197,143,7592916,7592916,8:30:12 PM,FALSE,TRUE,62.31
6081762,0.00016197,15,7592917,7592917,8:30:12 PM,FALSE,TRUE,62.31
6081763,0.00016197,42,7592918,7592918,8:30:12 PM,FALSE,TRUE,62.31
6081764,0.00016498,9,7592919,7592919,8:30:12 PM,FALSE,TRUE,65.33
6081765,0.00016174,123,7592920,7592920,8:30:12 PM,TRUE,TRUE,62.08
6081766,0.00015926,4,7592921,7592921,8:30:12 PM,TRUE,TRUE,59.60
6081767,0.00015661,2,7592922,7592922,8:30:12 PM,TRUE,TRUE,56.94
6081768,0.000154,25,7592923,7592923,8:30:12 PM,TRUE,TRUE,54.32
6081769,0.00015202,7,7592924,7592924,8:30:12 PM,TRUE,TRUE,52.34
6081770,0.00016498,27,7592925,7592925,8:30:12 PM,FALSE,TRUE,65.33
6081771,0.00016498,11,7592926,7592926,8:30:12 PM,FALSE,TRUE,65.33
6081772,0.00016498,40,7592927,7592927,8:30:12 PM,FALSE,TRUE,65.33
6081773,0.000165,1235.55,7592928,7592930,8:30:12 PM,FALSE,TRUE,65.35
6081774,0.00016508,27,7592931,7592932,8:30:12 PM,FALSE,TRUE,65.43
6081775,0.00016526,39,7592933,7592933,8:30:12 PM,FALSE,TRUE,65.61
6081776,0.00016539,6,7592934,7592934,8:30:12 PM,FALSE,TRUE,65.74
6081777,0.00016546,2,7592935,7592935,8:30:12 PM,FALSE,TRUE,65.81
6081778,0.0001656,61.45,7592936,7592937,8:30:12 PM,FALSE,TRUE,65.95
6081779,0.0001656,14,7592938,7592938,8:30:12 PM,FALSE,TRUE,65.95
6081780,0.0001656,72,7592939,7592939,8:30:12 PM,FALSE,TRUE,65.95
6081781,0.0001656,8,7592940,7592940,8:30:12 PM,FALSE,TRUE,65.95
6081782,0.0001656,54,7592941,7592941,8:30:12 PM,FALSE,TRUE,65.95
6081783,0.0001656,10.55,7592942,7592942,8:30:12 PM,FALSE,TRUE,65.95
6081784,0.0001657,7.69,7592943,7592943,8:30:12 PM,FALSE,TRUE,66.05
6081785,0.00016576,24,7592944,7592944,8:30:12 PM,FALSE,TRUE,66.11
6081786,0.00016583,16.76,7592945,7592945,8:30:12 PM,FALSE,TRUE,66.18
6081787,0.00016175,4,7592946,7592946,8:30:12 PM,TRUE,TRUE,62.09
6081788,0.00016583,49,7592947,7592947,8:30:12 PM,FALSE,TRUE,66.18
6081789,0.00016559,6,7592948,7592948,8:30:12 PM,FALSE,TRUE,65.94
6081790,0.00016559,255,7592949,7592949,8:30:12 PM,FALSE,TRUE,65.94
6081791,0.00016583,305.24,7592950,7592950,8:30:12 PM,FALSE,TRUE,66.18
6081792,0.0001659,27,7592951,7592951,8:30:12 PM,FALSE,TRUE,66.25
6081793,0.000166,3,7592952,7592952,8:30:12 PM,FALSE,TRUE,66.35
6081794,0.00016601,4,7592953,7592953,8:30:12 PM,FALSE,TRUE,66.36
6081795,0.0001662,10.76,7592954,7592954,8:30:12 PM,FALSE,TRUE,66.55
6081796,0.00016175,192,7592955,7592955,8:30:12 PM,TRUE,TRUE,62.09
6081797,0.0001662,11,7592956,7592956,8:30:12 PM,FALSE,TRUE,66.55
6081798,0.0001662,53,7592957,7592957,8:30:12 PM,FALSE,TRUE,66.55
6081799,0.0001662,50.24,7592958,7592958,8:30:12 PM,FALSE,TRUE,66.55
6081800,0.00016624,4,7592959,7592959,8:30:12 PM,FALSE,TRUE,66.59
6081801,0.0001665,462.76,7592960,7592961,8:30:12 PM,FALSE,TRUE,66.85
6081802,0.0001665,870,7592962,7592962,8:30:12 PM,FALSE,TRUE,66.85
6081803,0.0001665,1186,7592963,7592963,8:30:12 PM,FALSE,TRUE,66.85
6081804,0.0001665,190,7592964,7592964,8:30:12 PM,FALSE,TRUE,66.85
6081805,0.00016619,4,7592965,7592965,8:30:12 PM,FALSE,TRUE,66.54
6081806,0.0001665,108,7592966,7592966,8:30:12 PM,FALSE,TRUE,66.85
6081807,0.0001665,29,7592967,7592967,8:30:12 PM,FALSE,TRUE,66.85
6081808,0.0001665,6,7592968,7592968,8:30:12 PM,FALSE,TRUE,66.85
6081809,0.00016175,131,7592969,7592969,8:30:12 PM,TRUE,TRUE,62.09
6081810,0.0001665,704,7592970,7592970,8:30:12 PM,FALSE,TRUE,66.85
6081811,0.00016236,2,7592971,7592971,8:30:12 PM,TRUE,TRUE,62.70
6081812,0.00016589,6,7592972,7592972,8:30:12 PM,FALSE,TRUE,66.24
6081813,0.00016589,74,7592973,7592973,8:30:12 PM,FALSE,TRUE,66.24
6081814,0.00016236,43,7592974,7592974,8:30:12 PM,TRUE,TRUE,62.70
6081815,0.00016589,138,7592975,7592975,8:30:12 PM,FALSE,TRUE,66.24
6081816,0.00016589,1,7592976,7592976,8:30:12 PM,FALSE,TRUE,66.24
6081817,0.00016649,32,7592977,7592977,8:30:12 PM,FALSE,TRUE,66.84
6081818,0.0001665,43,7592978,7592978,8:30:12 PM,FALSE,TRUE,66.85
6081819,0.0001665,114.24,7592979,7592979,8:30:12 PM,FALSE,TRUE,66.85
6081820,0.00016653,21,7592980,7592980,8:30:12 PM,FALSE,TRUE,66.88
6081821,0.0001666,14,7592981,7592981,8:30:12 PM,FALSE,TRUE,66.95
6081822,0.00016666,141.76,7592982,7592982,8:30:12 PM,FALSE,TRUE,67.01
6081823,0.00016237,350,7592983,7592983,8:30:12 PM,TRUE,TRUE,62.71
6081824,0.00016236,3,7592984,7592984,8:30:12 PM,TRUE,TRUE,62.70
6081825,0.00016588,192,7592985,7592985,8:30:12 PM,FALSE,TRUE,66.23
6081826,0.00016666,152.24,7592986,7592986,8:30:12 PM,FALSE,TRUE,67.01
6081827,0.00016667,6,7592987,7592987,8:30:12 PM,FALSE,TRUE,67.02
6081828,0.00016675,144.76,7592988,7592988,8:30:12 PM,FALSE,TRUE,67.10
6081829,0.00016675,2,7592989,7592989,8:30:12 PM,FALSE,TRUE,67.10
6081830,0.00016236,75,7592990,7592990,8:30:12 PM,TRUE,TRUE,62.70
6081831,0.00015502,45,7592991,7592991,8:30:12 PM,TRUE,TRUE,55.35
6081832,0.00015182,2,7592992,7592992,8:30:12 PM,TRUE,TRUE,52.14
6081833,0.00016675,9,7592993,7592993,8:30:12 PM,FALSE,TRUE,67.10
6081834,0.00015182,1,7592994,7592994,8:30:12 PM,TRUE,TRUE,52.14
6081835,0.00016675,6,7592995,7592995,8:30:12 PM,FALSE,TRUE,67.10
6081836,0.00016675,21.24,7592996,7592996,8:30:12 PM,FALSE,TRUE,67.10
6081837,0.00016699,139.76,7592997,7592997,8:30:12 PM,FALSE,TRUE,67.34
6081838,0.00016674,61,7592998,7592998,8:30:12 PM,FALSE,TRUE,67.09
6081839,0.00016674,7,7592999,7592999,8:30:12 PM,FALSE,TRUE,67.09
6081840,0.00016674,8,7593000,7593000,8:30:12 PM,FALSE,TRUE,67.09
6081841,0.00016674,4,7593001,7593001,8:30:12 PM,FALSE,TRUE,67.09
6081842,0.00016674,1,7593002,7593002,8:30:12 PM,FALSE,TRUE,67.09
6081843,0.00016674,10,7593003,7593003,8:30:12 PM,FALSE,TRUE,67.09
6081844,0.00016674,7,7593004,7593004,8:30:12 PM,FALSE,TRUE,67.09
6081845,0.00016674,351,7593005,7593005,8:30:12 PM,FALSE,TRUE,67.09
6081846,0.00016699,52,7593006,7593006,8:30:12 PM,FALSE,TRUE,67.34
6081847,0.00016699,473,7593007,7593007,8:30:12 PM,FALSE,TRUE,67.34
6081848,0.00016699,3,7593008,7593008,8:30:12 PM,FALSE,TRUE,67.34
6081849,0.00016699,278,7593009,7593009,8:30:12 PM,FALSE,TRUE,67.34
6081850,0.00016699,86,7593010,7593010,8:30:12 PM,FALSE,TRUE,67.34
6081851,0.00016699,9,7593011,7593011,8:30:12 PM,FALSE,TRUE,67.34
6081852,0.00016699,9,7593012,7593012,8:30:12 PM,FALSE,TRUE,67.34
6081853,0.00016237,7,7593013,7593013,8:30:12 PM,TRUE,TRUE,62.71
6081854,0.00016699,7,7593014,7593014,8:30:12 PM,FALSE,TRUE,67.34
6081855,0.00016237,342,7593015,7593015,8:30:12 PM,TRUE,TRUE,62.71
6081856,0.00015979,51,7593016,7593018,8:30:12 PM,TRUE,TRUE,60.13
6081857,0.0001554,24,7593019,7593019,8:30:12 PM,TRUE,TRUE,55.73
6081858,0.0001554,46,7593020,7593020,8:30:12 PM,TRUE,TRUE,55.73
6081859,0.00015502,299,7593021,7593026,8:30:12 PM,TRUE,TRUE,55.35
6081860,0.00016699,6770,7593027,7593027,8:30:12 PM,FALSE,TRUE,67.34
6081861,0.00015502,45,7593028,7593029,8:30:12 PM,TRUE,TRUE,55.35
6081862,0.00015502,1,7593030,7593030,8:30:12 PM,TRUE,TRUE,55.35
6081863,0.00015781,30,7593031,7593036,8:30:12 PM,FALSE,TRUE,58.14
6081864,0.00015781,15,7593037,7593039,8:30:12 PM,FALSE,TRUE,58.14
6081865,0.00016698,7,7593040,7593040,8:30:12 PM,FALSE,TRUE,67.33
6081866,0.00016699,6,7593041,7593041,8:30:12 PM,FALSE,TRUE,67.34
6081867,0.00016699,169,7593042,7593042,8:30:12 PM,FALSE,TRUE,67.34
6081868,0.00016296,12,7593043,7593043,8:30:12 PM,FALSE,TRUE,63.30
6081869,0.00016197,11,7593044,7593044,8:30:12 PM,FALSE,TRUE,62.31
6081870,0.00016197,21,7593045,7593045,8:30:12 PM,FALSE,TRUE,62.31
6081871,0.00016197,264,7593046,7593046,8:30:12 PM,FALSE,TRUE,62.31
6081872,0.00016197,204,7593047,7593047,8:30:12 PM,FALSE,TRUE,62.31
6081873,0.00016296,66,7593048,7593048,8:30:12 PM,FALSE,TRUE,63.30
6081874,0.00016699,176,7593049,7593049,8:30:12 PM,FALSE,TRUE,67.34
6081875,0.00016699,1200,7593050,7593050,8:30:12 PM,FALSE,TRUE,67.34
6081876,0.00016699,65,7593051,7593051,8:30:12 PM,FALSE,TRUE,67.34
6081877,0.00016699,516,7593052,7593052,8:30:12 PM,FALSE,TRUE,67.34
6081878,0.00016699,13,7593053,7593053,8:30:12 PM,FALSE,TRUE,67.34
