a,p,q,f,l,T,m,M,
6078238,0.00010438,792,7587804,7587804,8:30:00 PM,FALSE,TRUE,4.60
6078239,0.0001047,30,7587805,7587805,8:30:00 PM,FALSE,TRUE,4.92
6078240,0.00010478,27,7587806,7587806,8:30:00 PM,FALSE,TRUE,5.00
6078241,0.0001048,10,7587807,7587807,8:30:00 PM,FALSE,TRUE,5.02
6078242,0.00010497,378,7587808,7587808,8:30:00 PM,FALSE,TRUE,5.19
6078243,0.00010498,2382.14,7587809,7587809,8:30:00 PM,FALSE,TRUE,5.20
6078244,0.00010498,10,7587810,7587810,8:30:00 PM,FALSE,TRUE,5.20
6078245,0.00010498,255,7587811,7587811,8:30:00 PM,FALSE,TRUE,5.20
6078246,0.00010498,1750,7587812,7587812,8:30:00 PM,FALSE,TRUE,5.20
6078247,0.00010498,210,7587813,7587813,8:30:00 PM,FALSE,TRUE,5.20
6078248,0.00010498,164,7587814,7587814,8:30:00 PM,FALSE,TRUE,5.20
6078249,0.00010498,523,7587815,7587815,8:30:00 PM,FALSE,TRUE,5.20
6078250,0.00010498,49,7587816,7587816,8:30:00 PM,FALSE,TRUE,5.20
6078251,0.00010498,148,7587817,7587817,8:30:00 PM,FALSE,TRUE,5.20
6078252,0.00010498,483,7587818,7587818,8:30:00 PM,FALSE,TRUE,5.20
6078253,0.00010498,517,7587819,7587819,8:30:00 PM,FALSE,TRUE,5.20
6078254,0.00010498,86,7587820,7587820,8:30:00 PM,FALSE,TRUE,5.20
6078255,0.00010257,4,7587821,7587821,8:30:00 PM,FALSE,TRUE,2.79
6078256,0.00010498,2020,7587822,7587822,8:30:00 PM,FALSE,TRUE,5.20
6078257,0.00010498,2,7587823,7587823,8:30:00 PM,FALSE,TRUE,5.20
6078258,0.000104,34,7587824,7587824,8:30:00 PM,TRUE,TRUE,4.22
6078259,0.00010498,2095,7587825,7587825,8:30:00 PM,FALSE,TRUE,5.20
6078260,0.00010498,15,7587826,7587826,8:30:00 PM,FALSE,TRUE,5.20
6078261,0.00010498,3,7587827,7587827,8:30:00 PM,FALSE,TRUE,5.20
6078262,0.00010497,1,7587828,7587828,8:30:00 PM,FALSE,TRUE,5.19
6078263,0.00010498,299.86,7587829,7587829,8:30:00 PM,FALSE,TRUE,5.20
6078264,0.00010499,1,7587830,7587830,8:30:00 PM,FALSE,TRUE,5.21
6078265,0.000105,459.14,7587831,7587832,8:30:00 PM,FALSE,TRUE,5.22
6078266,0.000105,1722,7587833,7587834,8:30:00 PM,FALSE,TRUE,5.22
6078267,0.000105,75,7587835,7587836,8:30:00 PM,FALSE,TRUE,5.22
6078268,0.000105,2278.86,7587837,7587846,8:30:00 PM,FALSE,TRUE,5.22
6078269,0.00010525,50,7587847,7587847,8:30:00 PM,FALSE,TRUE,5.47
6078270,0.0001053,48,7587848,7587848,8:30:00 PM,FALSE,TRUE,5.52
6078271,0.0001056,6,7587849,7587849,8:30:00 PM,FALSE,TRUE,5.82
6078272,0.00010599,1,7587850,7587850,8:30:00 PM,FALSE,TRUE,6.21
6078273,0.000106,1308,7587851,7587851,8:30:00 PM,FALSE,TRUE,6.22
6078274,0.00010611,58,7587852,7587852,8:30:00 PM,FALSE,TRUE,6.33
6078275,0.00010621,1,7587853,7587853,8:30:00 PM,FALSE,TRUE,6.43
6078276,0.0001063,41,7587854,7587854,8:30:00 PM,FALSE,TRUE,6.52
6078277,0.00010646,47,7587855,7587855,8:30:00 PM,FALSE,TRUE,6.68
6078278,0.0001065,300,7587856,7587856,8:30:00 PM,FALSE,TRUE,6.72
6078279,0.00010682,5,7587857,7587857,8:30:00 PM,FALSE,TRUE,7.04
6078280,0.0001069,28,7587858,7587859,8:30:00 PM,FALSE,TRUE,7.12
6078281,0.00010699,1,7587860,7587860,8:30:00 PM,FALSE,TRUE,7.22
